order_id,invoice_id,order_ts,invoice_ts,due_date,paid_ts,customer_id,account_name,industry,segment,region,country,state,city,sales_channel,sales_rep_id,product_family,sku,contract_type,term_months,quantity,unit_price_local,discount_pct,gross_amount_local,net_amount_local,currency,payment_status,days_to_pay_est
ORD-4238093164,INV-3931639523,2025-11-25 03:11:24,2025-11-27 03:11:24,2025-12-27 03:11:24,2025-12-16 03:11:24,CUST-29655241,Cobalt Labs,Retail,SMB,North America,USA,CA,San Francisco,Online,SR-085075,Supply Chain Optimizer,SCO-EXEC,Subscription,12,13,1688776.9,0.35,21954099.67,14270989.19,INR,Paid,19
ORD-1021849561,INV-5465738578,2024-11-14 15:26:49,2024-11-16 15:26:49,2025-01-15 15:26:49,,CUST-59968326,Cobalt Systems,Healthcare,Mid-Market,APAC,Singapore,,Singapore,Direct,SR-358979,AI Platform,AIP-DEV,Subscription,24,16,10677.34,0.0653,341675.03,319362.43,USD,Net 60,49
ORD-4777765863,INV-6245613891,2025-09-30 21:04:52,2025-10-02 21:04:52,2025-12-01 21:04:52,,CUST-56955587,BlueRock Systems,Retail,Mid-Market,North America,USA,NY,New York,Online,SR-189095,Support Automation,SUP-DEFLECT,Subscription,12,22,5334.25,0.0733,117353.54,108751.96,USD,Net 60,46
ORD-2093213246,INV-6062624238,2025-04-29 03:04:51,2025-05-01 03:04:51,2025-05-31 03:04:51,2025-05-30 03:04:51,CUST-05937953,Pioneer Group,Retail,SMB,North America,USA,MA,Boston,Direct,SR-619760,Supply Chain Optimizer,SCO-ENT,Subscription,12,16,45378.87,0.0928,726061.86,658715.38,USD,Paid,29
ORD-3070955896,INV-1450109014,2025-07-10 20:07:38,2025-07-13 20:07:38,2025-08-12 20:07:38,2025-07-28 20:07:38,CUST-90952314,Quantum Retail,Retail,SMB,North America,USA,NY,New York,Online,SR-632282,Supply Chain Optimizer,SCO-PLAN,Usage-Based,12,10,1137400.47,0.1302,11374004.67,9893001.17,INR,Paid,15
ORD-8414585488,INV-1807254107,2025-06-27 02:31:49,2025-06-27 02:31:49,2025-07-27 02:31:49,2025-07-01 02:31:49,CUST-64659065,Vertex Retail,Healthcare,SMB,North America,USA,IL,Chicago,Partner,SR-658490,Support Automation,SUP-DEFLECT,Subscription,12,24,4704.61,0.1101,112910.75,100478.52,USD,Paid,4
ORD-7816279571,INV-2206459384,2024-05-19 20:54:21,2024-05-23 20:54:21,2024-07-22 20:54:21,,CUST-04960255,Pioneer Group,Healthcare,SMB,EMEA,UAE,,Dubai,Partner,SR-416725,AI Platform,AIP-BUS,Subscription,24,10,16331.87,0.0411,326637.38,313227.32,USD,Net 60,68
ORD-4079551086,INV-7265173069,2024-09-17 18:56:01,2024-09-21 18:56:01,2024-10-21 18:56:01,,CUST-54206791,Nimbus Industries,Education,Mid-Market,North America,USA,TX,Austin,Online,SR-025619,Support Automation,SUP-AGENT,Subscription,24,23,13248.76,0.2344,609442.94,466613.02,USD,Overdue,88
ORD-9462420812,INV-4943281450,2024-11-29 03:38:25,2024-11-29 03:38:25,2024-12-29 03:38:25,,CUST-45578636,Apex Labs,Healthcare,Enterprise,North America,USA,IL,Chicago,Inside Sales,SR-781282,CRM Add-on,CRM-AI,Subscription,12,3,5482.76,0.1501,16448.29,13978.71,USD,Net 30,25
ORD-3540078400,INV-7959380908,2024-12-21 17:26:06,2024-12-24 17:26:06,2025-01-23 17:26:06,2025-01-23 17:26:06,CUST-21034463,Summit Group,Healthcare,SMB,APAC,Singapore,,Singapore,Online,SR-004017,CRM Add-on,CRM-INSIGHTS,Subscription,12,1,9537.63,0.2246,9537.63,7395.13,EUR,Paid,30
ORD-9291685069,INV-9809210159,2024-02-01 02:48:10,2024-02-01 02:48:10,2024-03-02 02:48:10,2024-02-23 02:48:10,CUST-93336911,Vertex Fin,FinTech,SMB,North America,USA,IL,Chicago,Direct,SR-332282,Support Automation,SUP-DEFLECT,Subscription,12,24,4856.61,0.1725,116558.71,96450.55,USD,Paid,22
ORD-9974978749,INV-4001380434,2025-01-25 13:37:58,2025-01-27 13:37:58,2025-02-26 13:37:58,2025-02-21 13:37:58,CUST-38766059,Quantum Retail,Healthcare,SMB,North America,USA,WA,Seattle,Direct,SR-862006,Support Automation,SUP-AGENT,Subscription,24,4,12619.78,0.396,100958.25,60975.57,USD,Paid,25
ORD-9813243503,INV-1002568902,2024-04-20 22:10:17,2024-04-22 22:10:17,2024-05-22 22:10:17,2024-05-14 22:10:17,CUST-64954251,Vertex Labs,SaaS,Mid-Market,North America,USA,CA,San Francisco,Direct,SR-786694,Supply Chain Optimizer,SCO-ENT,Professional Services,3,19,38843.94,0.1553,184508.71,155854.25,GBP,Paid,22
ORD-1394964924,INV-6417459174,2025-06-15 04:56:35,2025-06-19 04:56:35,2025-07-19 04:56:35,2025-07-13 04:56:35,CUST-61725579,Summit Holdings,Education,SMB,North America,USA,GA,Atlanta,Online,SR-829913,CRM Add-on,CRM-AI,Professional Services,1,4,3861.67,0.2385,1287.22,980.16,USD,Paid,24
ORD-0363056098,INV-1634431743,2025-05-03 04:10:18,2025-05-05 04:10:18,2025-06-04 04:10:18,2025-05-28 04:10:18,CUST-46725632,Vertex Holdings,Manufacturing,SMB,North America,Canada,ON,Toronto,Direct,SR-183680,Support Automation,SUP-ENT,Subscription,24,9,31745.28,0.4144,571415.02,334604.81,USD,Paid,23
ORD-4285043162,INV-3486756780,2025-10-21 10:08:56,2025-10-25 10:08:56,2025-11-24 10:08:56,2025-11-23 10:08:56,CUST-79632711,Sunrise Holdings,Retail,SMB,North America,USA,NY,New York,Direct,SR-455324,AI Platform,AIP-DEV,Professional Services,1,19,9296.92,0.024,14720.12,14366.54,USD,Paid,29
ORD-4463040980,INV-3137918876,2025-06-16 08:50:48,2025-06-20 08:50:48,2025-07-20 08:50:48,2025-07-03 08:50:48,CUST-37558739,Vertex Industries,Logistics,Mid-Market,APAC,India,TS,Hyderabad,Inside Sales,SR-873123,CRM Add-on,CRM-AI,Subscription,12,7,362024.86,0.0355,2534174.0,2444228.95,INR,Paid,13
ORD-8971906347,INV-9986138352,2024-09-19 01:09:47,2024-09-20 01:09:47,2024-10-20 01:09:47,2024-10-11 01:09:47,CUST-86679229,Evergreen Holdings,Logistics,Enterprise,North America,USA,FL,Miami,Online,SR-835243,Supply Chain Optimizer,SCO-PLAN,Subscription,24,16,1427564.13,0.0411,45682052.16,43806215.64,INR,Paid,21
ORD-4714931645,INV-9000176757,2025-11-22 10:56:37,2025-11-22 10:56:37,2026-01-21 10:56:37,,CUST-62722471,Apex Labs,SaaS,SMB,North America,USA,TX,Austin,Partner,SR-015778,Support Automation,SUP-DEFLECT,Subscription,24,1,433205.3,0.1039,866410.6,776380.69,INR,Net 60,63
ORD-6420179942,INV-3498393951,2024-10-20 06:13:45,2024-10-21 06:13:45,2024-11-20 06:13:45,2024-10-30 06:13:45,CUST-00919747,Evergreen Labs,Manufacturing,SMB,APAC,India,UP,Lucknow,Online,SR-714236,CRM Add-on,CRM-AI,Subscription,12,7,3679.63,0.3274,25757.39,17325.32,USD,Paid,9
ORD-0290226275,INV-5107168491,2024-08-20 02:59:11,2024-08-20 02:59:11,2024-09-19 02:59:11,2024-09-13 02:59:11,CUST-61834558,Summit Systems,Retail,SMB,APAC,India,TN,Chennai,Partner,SR-153779,CRM Add-on,CRM-INSIGHTS,Usage-Based,6,9,10261.64,0.1645,46177.36,38580.17,USD,Paid,24
ORD-1952700977,INV-2344691956,2025-10-09 06:37:29,2025-10-12 06:37:29,2025-11-11 06:37:29,,CUST-04646935,Pioneer Holdings,Logistics,SMB,APAC,India,GJ,Ahmedabad,Online,SR-968966,AI Platform,AIP-BUS,Professional Services,1,14,15678.69,0.3004,18291.81,12796.7,USD,Net 30,28
ORD-9497306871,INV-4752442733,2024-09-21 00:29:42,2024-09-21 00:29:42,2024-10-21 00:29:42,2024-10-20 00:29:42,CUST-06191152,Cobalt Systems,Logistics,SMB,North America,USA,CA,San Francisco,Inside Sales,SR-501123,AI Platform,AIP-ENT,Subscription,12,6,34427.0,0.0,206562.02,206562.02,EUR,Paid,29
ORD-6982019293,INV-0296085629,2024-02-24 21:57:39,2024-02-27 21:57:39,2024-03-28 21:57:39,2024-03-21 21:57:39,CUST-76813653,Vertex Fin,FinTech,Mid-Market,North America,USA,IL,Chicago,Online,SR-143032,Support Automation,SUP-AGENT,Subscription,12,16,13232.64,0.0,211722.2,211722.2,USD,Paid,23
ORD-6960371717,INV-0931865474,2024-12-01 23:51:29,2024-12-03 23:51:29,2025-01-02 23:51:29,2025-01-01 23:51:29,CUST-58017458,BlueRock Holdings,Education,Mid-Market,APAC,India,TN,Chennai,Partner,SR-859566,Analytics Suite,ANL-ENT,Subscription,12,4,2434103.74,0.0829,9736414.97,8929150.25,INR,Paid,29
ORD-0236936238,INV-2989672157,2025-07-22 08:49:22,2025-07-23 08:49:22,2025-08-22 08:49:22,2025-08-25 08:49:22,CUST-91964846,Apex Holdings,FinTech,SMB,APAC,India,DL,Delhi,Direct,SR-914880,Analytics Suite,ANL-PRO,Subscription,12,8,1042668.94,0.0433,8341351.51,7980415.92,INR,Paid,33
ORD-1021783051,INV-9638410515,2024-05-15 21:02:23,2024-05-19 21:02:23,2024-06-18 21:02:23,2024-05-27 21:02:23,CUST-68595889,Cobalt Group,Manufacturing,SMB,North America,USA,MA,Boston,Direct,SR-139434,CRM Add-on,CRM-AI,Subscription,36,2,3933.44,0.0,23600.62,23600.62,USD,Paid,8
ORD-7252508037,INV-0758841442,2024-11-27 11:04:20,2024-11-28 11:04:20,2024-12-28 11:04:20,2024-12-25 11:04:20,CUST-78164400,Sunrise Health,SaaS,SMB,North America,USA,GA,Atlanta,Partner,SR-178543,Support Automation,SUP-ENT,Subscription,12,15,29398.08,0.1069,440971.13,393825.39,USD,Paid,27
ORD-1600842585,INV-6486516514,2024-04-02 21:53:45,2024-04-02 21:53:45,2024-06-01 21:53:45,,CUST-10195022,Cobalt Holdings,FinTech,Enterprise,EMEA,UK,,London,Direct,SR-075277,Supply Chain Optimizer,SCO-ENT,Subscription,36,24,56701.11,0.1638,4082480.18,3413603.82,USD,Net 60,76
ORD-9957297962,INV-1488477529,2025-05-05 04:09:18,2025-05-06 04:09:18,2025-07-05 04:09:18,,CUST-37104457,Summit Systems,Education,Mid-Market,North America,USA,WA,Seattle,Inside Sales,SR-615860,CRM Add-on,CRM-INSIGHTS,Subscription,12,5,12066.18,0.1331,60330.91,52302.54,USD,Net 60,59
ORD-2663346739,INV-4562581910,2024-12-06 06:49:46,2024-12-06 06:49:46,2025-01-05 06:49:46,2025-01-01 06:49:46,CUST-87700935,BlueRock Health,Manufacturing,SMB,APAC,India,UP,Lucknow,Partner,SR-697818,Analytics Suite,ANL-ENT,Subscription,12,14,23725.1,0.0847,332151.4,304021.14,EUR,Paid,26
ORD-8565847799,INV-0149364425,2024-08-24 17:45:20,2024-08-26 17:45:20,2024-09-25 17:45:20,2024-09-15 17:45:20,CUST-16911132,Apex Fin,SaaS,Enterprise,APAC,India,TN,Chennai,Direct,SR-682181,Support Automation,SUP-DEFLECT,Subscription,12,15,7085.11,0.1416,106276.69,91224.14,USD,Paid,20
ORD-2823171517,INV-5471178885,2024-06-11 05:16:56,2024-06-15 05:16:56,2024-07-15 05:16:56,2024-07-14 05:16:56,CUST-16098550,Nimbus Labs,Manufacturing,Enterprise,North America,USA,NC,Raleigh,Direct,SR-550133,AI Platform,AIP-BUS,Subscription,36,3,21795.83,0.0,196162.43,196162.43,EUR,Paid,29
ORD-5339306663,INV-4962013796,2025-02-07 19:45:53,2025-02-07 19:45:53,2025-03-09 19:45:53,2025-03-03 19:45:53,CUST-75457846,Nimbus Fin,Manufacturing,Mid-Market,North America,USA,NY,New York,Direct,SR-889302,Analytics Suite,ANL-ENT,Usage-Based,3,19,30231.4,0.2109,143599.17,113316.49,USD,Paid,24
ORD-7302421052,INV-9302215894,2025-04-23 10:13:14,2025-04-24 10:13:14,2025-05-24 10:13:14,,CUST-35509515,Nimbus Fin,Manufacturing,SMB,North America,USA,FL,Miami,Partner,SR-814897,Support Automation,SUP-ENT,Usage-Based,1,15,28390.46,0.1407,35488.07,30496.33,USD,Overdue,116
